id,timestamp,label,person_id,landmark_0_x,landmark_0_y,landmark_1_x,landmark_1_y,landmark_2_x,landmark_2_y,landmark_3_x,landmark_3_y,landmark_4_x,landmark_4_y,landmark_5_x,landmark_5_y,landmark_6_x,landmark_6_y,landmark_7_x,landmark_7_y,landmark_8_x,landmark_8_y,landmark_9_x,landmark_9_y,landmark_10_x,landmark_10_y,landmark_11_x,landmark_11_y,landmark_12_x,landmark_12_y,landmark_13_x,landmark_13_y,landmark_14_x,landmark_14_y,landmark_15_x,landmark_15_y,landmark_16_x,landmark_16_y,landmark_17_x,landmark_17_y,landmark_18_x,landmark_18_y,landmark_19_x,landmark_19_y,landmark_20_x,landmark_20_y,landmark_21_x,landmark_21_y,landmark_22_x,landmark_22_y,landmark_23_x,landmark_23_y,landmark_24_x,landmark_24_y,landmark_25_x,landmark_25_y,landmark_26_x,landmark_26_y,landmark_27_x,landmark_27_y,landmark_28_x,landmark_28_y,landmark_29_x,landmark_29_y,landmark_30_x,landmark_30_y,landmark_31_x,landmark_31_y,landmark_32_x,landmark_32_y
1,1752027555.5872555,0,P1,0.20546004176139832,0.5322089791297913,0.23538775742053986,0.45249515771865845,0.255116730928421,0.445961594581604,0.27271533012390137,0.44146203994750977,0.182489812374115,0.4607916474342346,0.16677075624465942,0.45908087491989136,0.15277625620365143,0.45689690113067627,0.3096204102039337,0.43374061584472656,0.15064524114131927,0.4429779052734375,0.24505014717578888,0.5757386088371277,0.18625514209270477,0.5827884674072266,0.45985832810401917,0.7013399600982666,0.061658769845962524,0.6736779808998108,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1752027559.2437415,0,P1,0.2197553813457489,0.5303546190261841,0.2528539299964905,0.45814791321754456,0.2730833888053894,0.4526231586933136,0.2912150025367737,0.4481206238269806,0.19933484494686127,0.462494432926178,0.1831647753715515,0.4600358009338379,0.16865426301956177,0.4567013382911682,0.3267032504081726,0.4379633069038391,0.1639607846736908,0.43933647871017456,0.2575772702693939,0.5776566863059998,0.19599486887454987,0.5808318853378296,0.4653889238834381,0.6969582438468933,0.06318341940641403,0.6745716333389282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,1752027559.5461998,0,P1,0.22122304141521454,0.5283113718032837,0.2541615068912506,0.4575037360191345,0.27497848868370056,0.45205867290496826,0.2932170033454895,0.44776809215545654,0.19931139051914215,0.46190014481544495,0.18289682269096375,0.4594264030456543,0.16864052414894104,0.4560451805591583,0.3290460705757141,0.43813467025756836,0.16426420211791992,0.4391573369503021,0.2602785527706146,0.5760993361473083,0.19792191684246063,0.5796431303024292,0.48010390996932983,0.7026990056037903,0.063504159450531,0.6765792965888977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,1752027560.0169547,0,P1,0.22289037704467773,0.4741803705692291,0.2561977803707123,0.40195414423942566,0.276806503534317,0.3980630934238434,0.2942138910293579,0.39576005935668945,0.20006191730499268,0.4079461395740509,0.1841425746679306,0.40777909755706787,0.17028094828128815,0.4080061912536621,0.32693085074424744,0.4037570357322693,0.16523079574108124,0.41194620728492737,0.2636549472808838,0.5221655964851379,0.1993594467639923,0.5322162508964539,0.48551425337791443,0.6991673111915588,0.05917708948254585,0.691912055015564,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,1752027560.3202643,0,P1,0.2218119204044342,0.4131465256214142,0.2562384605407715,0.3459540009498596,0.2752716541290283,0.3463594317436218,0.2925433814525604,0.3486327826976776,0.2033512145280838,0.34946781396865845,0.1884453296661377,0.3501741588115692,0.1746409684419632,0.3515842854976654,0.32731783390045166,0.3743557929992676,0.17014098167419434,0.37227147817611694,0.2626274526119232,0.4671880602836609,0.20095157623291016,0.47600799798965454,0.4583064615726471,0.638916015625,0.05994846671819687,0.6763778328895569,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,1752027560.7056954,0,P1,0.22225446999073029,0.3906664550304413,0.2513989806175232,0.3248237371444702,0.26811328530311584,0.3246760070323944,0.2839767336845398,0.3262263834476471,0.2032286375761032,0.33177611231803894,0.18828904628753662,0.33473309874534607,0.17531907558441162,0.33799412846565247,0.31735095381736755,0.3531430959701538,0.17124158143997192,0.36338770389556885,0.26181256771087646,0.4465581476688385,0.20055978000164032,0.45684823393821716,0.43055444955825806,0.6084178686141968,0.06666579097509384,0.6649315357208252,-1,-1,-0.01969156041741371,0.9690131545066833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,1752027561.1071627,0,P1,0.23438124358654022,0.4011353850364685,0.2600042223930359,0.34457263350486755,0.2750486731529236,0.3436747193336487,0.29055625200271606,0.34418708086013794,0.21663443744182587,0.3496948480606079,0.20300762355327606,0.3518458604812622,0.19164393842220306,0.35415416955947876,0.32122769951820374,0.3654542565345764,0.1917751133441925,0.37243393063545227,0.27020594477653503,0.4498130977153778,0.21552248299121857,0.45994308590888977,0.43397313356399536,0.6331700682640076,0.08745609223842621,0.6597636342048645,-1,-1,0.016224119812250137,0.9685095548629761,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,1752027561.5060277,0,P1,0.23611482977867126,0.4055502712726593,0.26491212844848633,0.3500693142414093,0.2789759933948517,0.3498089611530304,0.29377466440200806,0.3508205711841583,0.22153453528881073,0.35409069061279297,0.20708608627319336,0.3563119173049927,0.19508107006549835,0.3585665822029114,0.3236071467399597,0.3734484016895294,0.19471195340156555,0.3766891360282898,0.27088257670402527,0.4539710283279419,0.21605917811393738,0.4614707827568054,0.4378322958946228,0.6448162794113159,0.08924464881420135,0.6595122218132019,0.48106521368026733,0.9695433974266052,0.03175266832113266,0.9824162721633911,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,1752027561.9524462,0,P1,0.22791138291358948,0.40649059414863586,0.2549176812171936,0.35432079434394836,0.2697930335998535,0.35460853576660156,0.2810668349266052,0.3557465374469757,0.21098899841308594,0.35643771290779114,0.19773201644420624,0.35801705718040466,0.18631435930728912,0.35979458689689636,0.3056231737136841,0.37766656279563904,0.17366132140159607,0.379916787147522,0.25916409492492676,0.45567095279693604,0.2037297487258911,0.46199044585227966,0.4150733947753906,0.669865608215332,0.07814755290746689,0.6637266874313354,-1,-1,0.034674905240535736,0.9773410558700562,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,1752027562.311473,0,P1,0.2355867624282837,0.3740941882133484,0.25970786809921265,0.3210453391075134,0.27365463972091675,0.32187414169311523,0.2880788743495941,0.32387059926986694,0.21799564361572266,0.3235267400741577,0.20552226901054382,0.32480859756469727,0.19432339072227478,0.3264401853084564,0.31616029143333435,0.3587026596069336,0.18194632232189178,0.36117804050445557,0.26740562915802,0.42927271127700806,0.21053895354270935,0.43098726868629456,0.4486420154571533,0.6465202569961548,0.079533651471138,0.6544875502586365,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
