subject_id,frame_name,direction,CVA_1,CVA_2
P1,frame_01,left,3.19576449511546,0.23299540048962938
P1,frame_02,left,0.6857420180475359,0.5538490909741196
P1,frame_03,left,2.666010471888436,0.512303947196548
P1,frame_04,left,1.5834766849779023,0.7699655167404352
P1,frame_05,left,2.4284469015406125,0.7800163930859286
P1,frame_06,left,2.4115235015053416,1.0090303208683629
P1,frame_07,left,2.2179991428264123,0.8733756105909931
P1,frame_08,left,0.8556979984345765,0.7350324172197702
P1,frame_09,left,1.295473585984955,0.9367135861864363
P1,frame_10,left,0.8954407181440818,0.7363618486623172
P1,frame_11,left,2.349500914162932,0.7897634856492391
P1,frame_12,left,1.2780637338985013,0.8967379713928302
P1,frame_13,left,1.1804384557799115,0.8813732935105353
P1,frame_14,left,1.0318070969735547,0.7051433683450371
P1,frame_15,left,0.9514687770811363,0.8389714133804854
P1,frame_16,left,0.2253363278402929,0.9973536039135154
P1,frame_17,left,0.7923974073447634,1.034492676914321
P1,frame_18,left,0.5331380046666884,1.029348022393848
P1,frame_19,left,0.2775077339341461,0.887232732145945
P1,frame_20,left,0.725798870271003,0.6707277626942194
P1,frame_21,left,1.2979316074110712,0.5602754849074587
P1,frame_22,left,0.5362298405533982,0.9243215544935197
P1,frame_23,left,3.4782181902336506,0.3823109805244546
P1,frame_24,left,5.409078984686257,0.1550389394897656
P1,frame_25,left,7.998404221368034,0.04701570635519693
P1,frame_26,left,9.754601526372797,0.47957208872045376
P1,frame_27,left,16.153263508762894,0.35010989807501147
P1,frame_28,left,17.825360818969106,0.630094269907842
P1,frame_29,left,22.69901867764278,0.9577636291527993
P1,frame_30,left,24.032050536812694,1.2517761464307327
P1,frame_31,left,27.706639637921676,1.4948928348009827
P1,frame_32,left,29.010489856729826,1.4656763052073916
P1,frame_33,left,31.780003465862567,1.6913137192935033
P1,frame_34,left,37.18300795257834,2.6117198879683063
P1,frame_35,left,38.73158852340638,2.7773903830859643
P1,frame_36,left,42.11786358330854,3.0526922163283263
P1,frame_37,left,50.39274137727343,3.3059205883192333
P1,frame_38,left,57.86490499195146,3.817042724362015
P1,frame_39,left,53.960018712102105,4.0086893921638245
P1,frame_40,left,58.6472379385325,3.8493441249411586
P1,frame_41,left,62.25970442213237,4.487754692047071
P1,frame_42,left,64.24395772709082,4.368956674973081
P1,frame_43,left,62.124983997499136,4.5127370962136615
P1,frame_44,left,61.645065140244746,4.48534465522928
P1,frame_45,left,64.9385721515297,4.667781435620128
P1,frame_46,left,54.46517930465514,6.317244995889131
P1,frame_47,left,62.3613788137052,8.654927110591988
P1,frame_48,left,80.58426187358273,8.26459937714106
P1,frame_49,left,73.19428256414913,6.741021117503804
P1,frame_50,left,74.98496000478283,6.843126710210067
