id,timestamp,participant_id,frame_name,camera_position,cva_angle,landmarks_count,analysis_time,ear_x,ear_y,ear_id,shoulder_x,shoulder_y,shoulder_id,elbow_x,elbow_y,elbow_id,wrist_x,wrist_y,wrist_id,hip_x,hip_y,hip_id,knee_x,knee_y,knee_id,ankle_x,ankle_y,ankle_id,heel_x,heel_y,heel_id,foot_index_x,foot_index_y,foot_index_id
,2025-07-08T10:20:15.972440,P1,frame_01,right,-10.09544316258004,9,2025-07-08T10:21:38.575221,0.5218601822853088,0.2818363904953003,8,0.5684261918067932,0.5181023478507996,12,0.5467806458473206,0.8369454145431519,14,0.4474062919616699,0.9122291803359984,16,0.5779579281806946,1.0361114740371704,24,0.3682347536087036,0.9486639499664308,26,0.4366634488105774,1.3576607704162598,28,0.458038866519928,1.4135056734085083,30,0.4161356091499328,1.4497041702270508,32
,2025-07-08T10:20:16.060186,P1,frame_02,right,-14.224829586634087,9,2025-07-08T10:21:38.575431,0.5138876438140869,0.2801513671875,8,0.5746268630027771,0.519594132900238,12,0.5570273399353027,0.8429024815559387,14,0.4636958539485931,0.9173571467399596,16,0.5747077465057373,1.0289885997772217,24,0.4558547437191009,1.3049079179763794,26,0.4473384916782379,1.747793436050415,28,0.4568446278572082,1.82179594039917,30,0.4072099328041076,1.819473385810852,32
,2025-07-08T10:20:16.147529,P1,frame_03,right,-11.269824402474171,9,2025-07-08T10:21:38.575598,0.511976957321167,0.2715057730674743,8,0.5574333667755127,0.5041278004646301,12,0.5360068082809448,0.8280384540557861,14,0.4487752318382263,0.9212748408317566,16,0.5555811524391174,1.0022475719451904,24,0.3704034090042114,0.997566819190979,26,0.4227093756198883,1.555959701538086,28,0.4373457431793213,1.6184182167053225,30,0.3931913375854492,1.6754202842712402,32
,2025-07-08T10:20:16.234687,P1,frame_04,right,-10.489688522779261,9,2025-07-08T10:21:38.575748,0.5135620832443237,0.273157000541687,8,0.5589599013328552,0.5118862390518188,12,0.5358178615570068,0.8440081477165222,14,0.4358574748039245,0.9290761947631836,16,0.5613316893577576,1.00181245803833,24,0.362831711769104,0.9550459384918212,26,0.3995989859104156,1.4022681713104248,28,0.4143696427345276,1.4630873203277588,30,0.3656787574291229,1.4960490465164185,32
,2025-07-08T10:20:16.324619,P1,frame_05,right,-13.476720794826036,9,2025-07-08T10:21:38.575901,0.512523353099823,0.2764431834220886,8,0.5627095103263855,0.5056180953979492,12,0.5383533239364624,0.825963020324707,14,0.4556218087673187,0.9187445640563964,16,0.5527894496917725,1.0109055042266846,24,0.4033675789833069,1.2289512157440186,26,0.408001959323883,1.6780215501785278,28,0.4212005138397217,1.747515320777893,30,0.3690209984779358,1.7657355070114136,32
,2025-07-08T10:20:16.413919,P1,frame_06,right,-14.674249100423168,9,2025-07-08T10:21:38.576093,0.5118221044540405,0.2789982557296753,8,0.5728826522827148,0.5191234350204468,12,0.536116361618042,0.833130419254303,14,0.4508354663848877,0.9297746419906616,16,0.5690885782241821,1.0530997514724731,24,0.4588781297206878,1.3095906972885132,26,0.4415269494056701,1.7755107879638672,28,0.4495401978492737,1.8554266691207888,30,0.3980495929718017,1.844798564910889,32
,2025-07-08T10:20:16.500695,P1,frame_07,right,-11.750492933877553,9,2025-07-08T10:21:38.576317,0.5141918063163757,0.275685966014862,8,0.5586667656898499,0.5124740600585938,12,0.5306119322776794,0.8447813391685486,14,0.4349015355110168,0.9268112182617188,16,0.5490909218788147,1.0054547786712646,24,0.3578046560287475,1.018617868423462,26,0.4125629067420959,1.5698689222335815,28,0.4269452691078186,1.6341313123703003,30,0.3768662214279175,1.6652286052703855,32
,2025-07-08T10:20:16.590330,P1,frame_08,right,-11.123284692370333,9,2025-07-08T10:21:38.576507,0.508240818977356,0.2791524529457092,8,0.5549008250236511,0.5085496306419373,12,0.5400797128677368,0.8264082074165344,14,0.4434600472450256,0.915895700454712,16,0.5579661130905151,0.9781535863876344,24,0.408384621143341,0.972992181777954,26,0.4110112190246582,1.3568572998046875,28,0.4233238697052002,1.4139742851257324,30,0.3774324953556061,1.4492954015731812,32
,2025-07-08T10:20:16.677564,P1,frame_09,right,-13.310009628808785,9,2025-07-08T10:21:38.576703,0.5029726028442383,0.2805774211883545,8,0.5544471740722656,0.5129532814025879,12,0.5321885943412781,0.8354918360710144,14,0.4424623847007751,0.9152746200561525,16,0.5475597977638245,0.9942429661750792,24,0.3406628370285034,0.9712659120559692,26,0.3873670101165771,1.386370062828064,28,0.4045613408088684,1.4392634630203247,30,0.3509801030158996,1.4802086353302002,32
,2025-07-08T10:20:16.765637,P1,frame_10,right,-13.150956407197611,9,2025-07-08T10:21:38.576907,0.502524733543396,0.2769232392311096,8,0.5538697242736816,0.5100194215774536,12,0.5274154543876648,0.8367329239845276,14,0.4328165054321289,0.9220870733261108,16,0.5476718544960022,0.9974002242088318,24,0.4044198095798492,1.142058491706848,26,0.3970382213592529,1.58896005153656,28,0.4086012244224548,1.6578611135482788,30,0.3562965989112854,1.6837470531463623,32
,2025-07-08T10:20:16.862581,P1,frame_11,right,-12.974766102012723,9,2025-07-08T10:21:38.577102,0.4946587681770324,0.2802271842956543,8,0.5482631921768188,0.5025136470794678,12,0.5353002548217773,0.8411718010902405,14,0.4426981806755066,0.9248723983764648,16,0.5533086061477661,0.9981235265731812,24,0.3542332947254181,0.9671767950057985,26,0.3992751836776733,1.2823859453201294,28,0.4166368842124939,1.3296825885772705,30,0.3642682731151581,1.3552474975585938,32
,2025-07-08T10:20:16.952812,P1,frame_12,right,-11.829873815596557,9,2025-07-08T10:21:38.577343,0.4919221997261047,0.280778706073761,8,0.5372409224510193,0.500018298625946,12,0.4999526143074035,0.7920463681221008,14,0.445019006729126,0.9107117652893066,16,0.5359692573547363,0.9830895066261292,24,0.3541509509086609,0.9595089554786682,26,0.398507297039032,1.322637677192688,28,0.4168463349342346,1.3698004484176636,30,0.3672940731048584,1.404828667640686,32
