subject_id,frame_name,camera_position,landmark_id,landmark_name,x,y,z,visibility
P1,frame_01,,0,NOSE,0.5638788342475891,0.3351033329963684,-0.5720586776733398,0.9999910593032837
P1,frame_01,,1,LEFT_EYE_INNER,0.5573059916496277,0.2928420305252075,-0.5368038415908813,0.9999803304672241
P1,frame_01,,2,LEFT_EYE,0.5592098832130432,0.2904367446899414,-0.5372699499130249,0.9999816417694092
P1,frame_01,,3,LEFT_EYE_OUTER,0.5612779855728149,0.28808891773223877,-0.5372873544692993,0.9999799728393555
P1,frame_01,,4,RIGHT_EYE_INNER,0.5479795336723328,0.2952226400375366,-0.5897945761680603,0.9999891519546509
P1,frame_01,,5,RIGHT_EYE,0.5416479706764221,0.29588496685028076,-0.5902741551399231,0.9999926090240479
P1,frame_01,,6,RIGHT_EYE_OUTER,0.5345091819763184,0.2974741458892822,-0.5906359553337097,0.9999921321868896
P1,frame_01,,7,LEFT_EAR,0.5304031372070312,0.30634498596191406,-0.3256217837333679,0.99998939037323
P1,frame_01,,8,RIGHT_EAR,0.499864399433136,0.3122638463973999,-0.5637739300727844,0.9999892711639404
P1,frame_01,,9,MOUTH_LEFT,0.5611523985862732,0.37158235907554626,-0.4831469655036926,0.9999361038208008
P1,frame_01,,10,MOUTH_RIGHT,0.546859085559845,0.37808340787887573,-0.5545333623886108,0.9999639987945557
P1,frame_01,,11,LEFT_SHOULDER,0.5190256237983704,0.5101169943809509,-0.0420064851641655,0.9999222755432129
P1,frame_01,,12,RIGHT_SHOULDER,0.4576708674430847,0.5683343410491943,-0.5795242190361023,0.9999338388442993
P1,frame_01,,13,LEFT_ELBOW,0.5382943153381348,0.7222069501876831,0.11271049827337265,0.5770872235298157
P1,frame_01,,14,RIGHT_ELBOW,0.4809902608394623,0.908355712890625,-0.5924115180969238,0.9980672001838684
P1,frame_01,,15,LEFT_WRIST,0.6100295782089233,0.8257125616073608,-0.01166949700564146,0.58437180519104
P1,frame_01,,16,RIGHT_WRIST,0.6210601329803467,1.0021454095840454,-0.5726527571678162,0.9965065121650696
P1,frame_01,,17,LEFT_PINKY,0.6368867754936218,0.8691958785057068,-0.027334848418831825,0.6274126172065735
P1,frame_01,,18,RIGHT_PINKY,0.6572356224060059,1.0272506475448608,-0.6509288549423218,0.9916770458221436
P1,frame_01,,19,LEFT_INDEX,0.6451159119606018,0.8665966391563416,-0.09138774126768112,0.6487053036689758
P1,frame_01,,20,RIGHT_INDEX,0.6662126779556274,0.9979085922241211,-0.6353070139884949,0.992379903793335
P1,frame_01,,21,LEFT_THUMB,0.6340488195419312,0.8615573644638062,-0.04088149219751358,0.6537206768989563
P1,frame_01,,22,RIGHT_THUMB,0.6517686247825623,0.9815217852592468,-0.5666428208351135,0.9853516221046448
P1,frame_01,,23,LEFT_HIP,0.5290266871452332,0.9584484696388245,0.18205785751342773,0.991940975189209
P1,frame_01,,24,RIGHT_HIP,0.48922887444496155,1.0036864280700684,-0.18205241858959198,0.9959768652915955
P1,frame_01,,25,LEFT_KNEE,0.6306835412979126,1.2108792066574097,0.46845975518226624,0.2203979790210724
P1,frame_01,,26,RIGHT_KNEE,0.6635186672210693,1.158718228340149,-0.08499127626419067,0.8591967821121216
P1,frame_01,,27,LEFT_ANKLE,0.5933166146278381,1.5358797311782837,0.7651853561401367,0.0972486212849617
P1,frame_01,,28,RIGHT_ANKLE,0.5967053771018982,1.5168825387954712,0.2924131155014038,0.5155377388000488
P1,frame_01,,29,LEFT_HEEL,0.5759149789810181,1.5952887535095215,0.7894110679626465,0.19461053609848022
P1,frame_01,,30,RIGHT_HEEL,0.5639858841896057,1.5797804594039917,0.3319089114665985,0.4969675838947296
P1,frame_01,,31,LEFT_FOOT_INDEX,0.6244629621505737,1.602967619895935,0.7410935163497925,0.09383227676153183
P1,frame_01,,32,RIGHT_FOOT_INDEX,0.6644920706748962,1.5892413854599,0.29402291774749756,0.31742236018180847
P1,frame_02,,0,NOSE,0.5663865804672241,0.3271140456199646,-0.3794856071472168,0.9988831877708435
P1,frame_02,,1,LEFT_EYE_INNER,0.557361364364624,0.2916114330291748,-0.359646737575531,0.9962247610092163
P1,frame_02,,2,LEFT_EYE,0.55689936876297,0.29119014739990234,-0.36011192202568054,0.9975054860115051
P1,frame_02,,3,LEFT_EYE_OUTER,0.5567095279693604,0.2903980612754822,-0.36021414399147034,0.9974319338798523
P1,frame_02,,4,RIGHT_EYE_INNER,0.5525083541870117,0.29326677322387695,-0.4198397994041443,0.9980105757713318
P1,frame_02,,5,RIGHT_EYE,0.5477672815322876,0.29435986280441284,-0.4202656149864197,0.9990418553352356
P1,frame_02,,6,RIGHT_EYE_OUTER,0.5421139597892761,0.29594188928604126,-0.42065349221229553,0.9990070462226868
P1,frame_02,,7,LEFT_EAR,0.5167903304100037,0.3085339069366455,-0.22974732518196106,0.9992315769195557
P1,frame_02,,8,RIGHT_EAR,0.5084933042526245,0.30974632501602173,-0.5025209188461304,0.9991119503974915
P1,frame_02,,9,MOUTH_LEFT,0.5613217949867249,0.37097930908203125,-0.3202361464500427,0.9983723759651184
P1,frame_02,,10,MOUTH_RIGHT,0.5515971183776855,0.37545883655548096,-0.4016241133213043,0.9991822838783264
P1,frame_02,,11,LEFT_SHOULDER,0.5192827582359314,0.5167737007141113,-0.009573814459145069,0.9999521970748901
P1,frame_02,,12,RIGHT_SHOULDER,0.4597017765045166,0.5608501434326172,-0.5618085265159607,0.9999579191207886
P1,frame_02,,13,LEFT_ELBOW,0.5334916114807129,0.7345450520515442,0.1873946189880371,0.42737269401550293
